,year,state,count
88,2003,Andaman & Nicobar Islands,43
89,2003,Andhra Pradesh,2573
90,2003,Assam,219
91,2003,Bihar,2157
92,2003,Chandigarh,95
93,2003,Dadra Nagar & Haveli,3
94,2003,Daman & Diu,9
95,2003,Delhi,6
96,2003,Gujarat,910
97,2003,Haryana,265
98,2003,Himachal Pradesh,286
99,2003,Jammu & Kashmir,163
100,2003,Jharkhand,20
101,2003,Karnataka,1390
102,2003,Kerala,860
103,2003,Madhya Pradesh,1044
104,2003,Maharashtra,3101
105,2003,Manipur,32
106,2003,Meghalaya,26
107,2003,Nagaland,31
108,2003,Odisha,908
109,2003,Puducherry,1
110,2003,Punjab,179
111,2003,Rajasthan,586
112,2003,Sikkim,16
113,2003,Tamil Nadu,989
114,2003,Tripura,3
115,2003,Uttar Pradesh,1736
116,2003,Uttarakhand,4
117,2003,West Bengal,1307
118,2003,nominated,2
119,2004,Andaman & Nicobar Islands,47
120,2004,Andhra Pradesh,1182
121,2004,Arunachal Pradesh,45
122,2004,Assam,265
123,2004,Bihar,1253
124,2004,Chandigarh,43
125,2004,Chhattisgarh,189
126,2004,Dadra Nagar & Haveli,6
127,2004,Daman & Diu,5
128,2004,Delhi,53
129,2004,Goa,22
130,2004,Gujarat,621
131,2004,Haryana,87
132,2004,Himachal Pradesh,225
133,2004,Jammu & Kashmir,122
134,2004,Jharkhand,239
135,2004,Karnataka,421
136,2004,Kerala,521
137,2004,Lakshadweep,27
138,2004,Madhya Pradesh,648
139,2004,Maharashtra,1620
140,2004,Manipur,23
141,2004,Mizoram,4
142,2004,Nagaland,2
143,2004,Odisha,749
144,2004,Puducherry,52
145,2004,Punjab,88
146,2004,Rajasthan,618
147,2004,Sikkim,27
148,2004,Tamil Nadu,299
149,2004,Tripura,9
150,2004,Uttar Pradesh,1461
151,2004,Uttarakhand,68
152,2004,West Bengal,920
153,2005,Andaman & Nicobar Islands,89
154,2005,Andhra Pradesh,2447
155,2005,Arunachal Pradesh,72
156,2005,Assam,482
157,2005,Bihar,1580
158,2005,Chandigarh,66
159,2005,Chhattisgarh,340
160,2005,Daman & Diu,15
161,2005,Delhi,103
162,2005,Goa,16
163,2005,Gujarat,1551
164,2005,Haryana,226
165,2005,Himachal Pradesh,164
166,2005,Jammu & Kashmir,167
167,2005,Jharkhand,480
168,2005,Karnataka,1196
169,2005,Kerala,942
170,2005,Lakshadweep,42
171,2005,Madhya Pradesh,1244
172,2005,Maharashtra,3401
173,2005,Manipur,32
174,2005,Nagaland,4
175,2005,Odisha,1549
176,2005,Puducherry,116
177,2005,Punjab,275
178,2005,Rajasthan,1123
179,2005,Sikkim,9
180,2005,Tamil Nadu,1396
181,2005,Tripura,2
182,2005,Uttar Pradesh,3262
183,2005,Uttarakhand,125
184,2005,West Bengal,1680
185,2005,nominated,36
186,2006,Andaman & Nicobar Islands,76
187,2006,Andhra Pradesh,1936
188,2006,Arunachal Pradesh,58
189,2006,Assam,285
190,2006,Bihar,1033
191,2006,Chhattisgarh,116
192,2006,Daman & Diu,31
193,2006,Delhi,127
194,2006,Goa,27
195,2006,Gujarat,1286
196,2006,Haryana,298
197,2006,Himachal Pradesh,50
198,2006,Jammu & Kashmir,91
199,2006,Jharkhand,535
200,2006,Karnataka,933
201,2006,Kerala,688
202,2006,Lakshadweep,31
203,2006,Madhya Pradesh,969
204,2006,Maharashtra,2702
205,2006,Manipur,37
206,2006,Mizoram,1
207,2006,Nagaland,1
208,2006,Odisha,1215
209,2006,Puducherry,73
210,2006,Punjab,154
211,2006,Rajasthan,670
212,2006,Tamil Nadu,1245
213,2006,Tripura,1
214,2006,Uttar Pradesh,2405
215,2006,Uttarakhand,109
216,2006,West Bengal,1248
217,2006,nominated,41
218,2007,Andaman & Nicobar Islands,131
219,2007,Andhra Pradesh,2036
220,2007,Arunachal Pradesh,117
221,2007,Assam,349
222,2007,Bihar,941
223,2007,Chhattisgarh,174
224,2007,Daman & Diu,4
225,2007,Delhi,150
226,2007,Goa,56
227,2007,Gujarat,1198
228,2007,Haryana,353
229,2007,Himachal Pradesh,108
230,2007,Jammu & Kashmir,161
231,2007,Jharkhand,537
232,2007,Karnataka,1130
233,2007,Kerala,773
234,2007,Lakshadweep,11
235,2007,Madhya Pradesh,1029
236,2007,Maharashtra,2895
237,2007,Manipur,49
238,2007,Odisha,1253
239,2007,Puducherry,86
240,2007,Punjab,120
241,2007,Rajasthan,913
242,2007,Sikkim,23
243,2007,Tamil Nadu,1088
244,2007,Uttar Pradesh,2045
245,2007,Uttarakhand,44
246,2007,West Bengal,1309
247,2007,nominated,11
248,2008,Andaman & Nicobar Islands,83
249,2008,Andhra Pradesh,1522
250,2008,Arunachal Pradesh,79
251,2008,Assam,285
252,2008,Bihar,835
253,2008,Chhattisgarh,405
254,2008,Daman & Diu,2
255,2008,Delhi,61
256,2008,Goa,66
257,2008,Gujarat,1074
258,2008,Haryana,138
259,2008,Himachal Pradesh,44
260,2008,Jammu & Kashmir,65
261,2008,Jharkhand,365
262,2008,Karnataka,610
263,2008,Kerala,653
264,2008,Lakshadweep,7
265,2008,Madhya Pradesh,598
266,2008,Maharashtra,1570
267,2008,Manipur,31
268,2008,Mizoram,3
269,2008,Odisha,900
270,2008,Puducherry,67
271,2008,Punjab,95
272,2008,Rajasthan,669
273,2008,Sikkim,17
274,2008,Tamil Nadu,756
275,2008,Uttar Pradesh,1421
276,2008,Uttarakhand,61
277,2008,West Bengal,939
278,2008,nominated,22
279,2009,Andaman & Nicobar Islands,31
280,2009,Andhra Pradesh,1900
281,2009,Arunachal Pradesh,29
282,2009,Assam,112
283,2009,Bihar,1081
284,2009,Chhattisgarh,132
285,2009,Dadra Nagar & Haveli,3
286,2009,Delhi,197
287,2009,Goa,41
288,2009,Gujarat,1055
289,2009,Haryana,199
290,2009,Himachal Pradesh,160
291,2009,Jammu & Kashmir,81
292,2009,Jharkhand,537
293,2009,Karnataka,951
294,2009,Kerala,821
295,2009,Madhya Pradesh,667
296,2009,Maharashtra,2367
297,2009,Manipur,49
298,2009,Mizoram,1
299,2009,Odisha,1237
300,2009,Puducherry,4
301,2009,Punjab,133
302,2009,Rajasthan,485
303,2009,Sikkim,12
304,2009,Tamil Nadu,985
305,2009,Uttar Pradesh,1804
306,2009,Uttarakhand,47
307,2009,West Bengal,685
308,2010,Andaman & Nicobar Islands,51
309,2010,Andhra Pradesh,2799
310,2010,Arunachal Pradesh,31
311,2010,Assam,264
312,2010,Bihar,2664
313,2010,Chhattisgarh,358
314,2010,Dadra Nagar & Haveli,15
315,2010,Daman & Diu,11
316,2010,Delhi,312
317,2010,Goa,100
318,2010,Gujarat,1707
319,2010,Haryana,307
320,2010,Himachal Pradesh,208
321,2010,Jammu & Kashmir,171
322,2010,Jharkhand,657
323,2010,Karnataka,1760
324,2010,Kerala,1554
325,2010,Lakshadweep,71
326,2010,Madhya Pradesh,1240
327,2010,Maharashtra,3564
328,2010,Manipur,62
329,2010,Mizoram,4
330,2010,Nagaland,2
331,2010,Odisha,1501
332,2010,Punjab,524
333,2010,Rajasthan,1128
334,2010,Sikkim,13
335,2010,Tamil Nadu,2508
336,2010,Tripura,50
337,2010,Uttar Pradesh,3310
338,2010,Uttarakhand,80
339,2010,West Bengal,1392
340,2010,nominated,40
341,2011,Andaman & Nicobar Islands,51
342,2011,Andhra Pradesh,1854
343,2011,Arunachal Pradesh,15
344,2011,Assam,291
345,2011,Bihar,2098
346,2011,Chhattisgarh,425
347,2011,Dadra Nagar & Haveli,14
348,2011,Daman & Diu,26
349,2011,Delhi,217
350,2011,Goa,90
351,2011,Gujarat,1571
352,2011,Haryana,383
353,2011,Himachal Pradesh,173
354,2011,Jammu & Kashmir,108
355,2011,Jharkhand,423
356,2011,Karnataka,1556
357,2011,Kerala,1161
358,2011,Lakshadweep,179
359,2011,Madhya Pradesh,1250
360,2011,Maharashtra,2709
361,2011,Manipur,37
362,2011,Mizoram,4
363,2011,Nagaland,10
364,2011,Odisha,1140
365,2011,Punjab,448
366,2011,Rajasthan,1061
367,2011,Sikkim,46
368,2011,Tamil Nadu,1969
369,2011,Tripura,68
370,2011,Uttar Pradesh,3066
371,2011,Uttarakhand,111
372,2011,West Bengal,952
373,2011,nominated,69
374,2012,Andaman & Nicobar Islands,56
375,2012,Andhra Pradesh,2176
376,2012,Arunachal Pradesh,27
377,2012,Assam,340
378,2012,Bihar,2697
379,2012,Chhattisgarh,504
380,2012,Daman & Diu,23
381,2012,Delhi,337
382,2012,Goa,91
383,2012,Gujarat,1623
384,2012,Haryana,628
385,2012,Himachal Pradesh,150
386,2012,Jammu & Kashmir,65
387,2012,Jharkhand,647
388,2012,Karnataka,1892
389,2012,Kerala,1284
390,2012,Lakshadweep,179
391,2012,Madhya Pradesh,1457
392,2012,Maharashtra,3282
393,2012,Manipur,25
394,2012,Meghalaya,1
395,2012,Mizoram,1
396,2012,Nagaland,20
397,2012,Odisha,1518
398,2012,Puducherry,1
399,2012,Punjab,494
400,2012,Rajasthan,1372
401,2012,Sikkim,69
402,2012,Tamil Nadu,2778
403,2012,Tripura,119
404,2012,Uttar Pradesh,3475
405,2012,Uttarakhand,93
406,2012,West Bengal,1154
407,2012,nominated,90
408,2013,Andaman & Nicobar Islands,28
409,2013,Andhra Pradesh,1494
410,2013,Arunachal Pradesh,12
411,2013,Assam,260
412,2013,Bihar,1999
413,2013,Chandigarh,17
414,2013,Chhattisgarh,381
415,2013,Daman & Diu,15
416,2013,Delhi,268
417,2013,Goa,89
418,2013,Gujarat,1384
419,2013,Haryana,507
420,2013,Himachal Pradesh,138
421,2013,Jammu & Kashmir,43
422,2013,Jharkhand,459
423,2013,Karnataka,1567
424,2013,Kerala,966
425,2013,Lakshadweep,167
426,2013,Madhya Pradesh,965
427,2013,Maharashtra,2719
428,2013,Manipur,41
429,2013,Meghalaya,16
430,2013,Nagaland,1
431,2013,Odisha,1223
432,2013,Punjab,288
433,2013,Rajasthan,1043
434,2013,Sikkim,37
435,2013,Tamil Nadu,2497
436,2013,Tripura,72
437,2013,Uttar Pradesh,2776
438,2013,Uttarakhand,89
439,2013,West Bengal,875
440,2013,nominated,68
441,2014,Andaman & Nicobar Islands,37
442,2014,Andhra Pradesh,1631
443,2014,Arunachal Pradesh,47
444,2014,Assam,230
445,2014,Bihar,1385
446,2014,Chandigarh,41
447,2014,Chhattisgarh,266
448,2014,Delhi,217
449,2014,Goa,40
450,2014,Gujarat,916
451,2014,Haryana,419
452,2014,Himachal Pradesh,189
453,2014,Jammu & Kashmir,47
454,2014,Jharkhand,618
455,2014,Karnataka,1841
456,2014,Kerala,1717
457,2014,Lakshadweep,117
458,2014,Madhya Pradesh,813
459,2014,Maharashtra,2752
460,2014,Manipur,46
461,2014,Meghalaya,40
462,2014,Mizoram,2
463,2014,Nagaland,4
464,2014,Odisha,788
465,2014,Puducherry,10
466,2014,Punjab,313
467,2014,Rajasthan,1243
468,2014,Sikkim,81
469,2014,Tamil Nadu,1753
470,2014,Tripura,76
471,2014,Uttar Pradesh,1619
472,2014,Uttarakhand,76
473,2014,West Bengal,668
474,2014,nominated,20
475,2015,Andaman & Nicobar Islands,16
476,2015,Andhra Pradesh,2335
477,2015,Arunachal Pradesh,79
478,2015,Assam,462
479,2015,Bihar,1582
480,2015,Chandigarh,130
481,2015,Chhattisgarh,432
482,2015,Dadra Nagar & Haveli,20
483,2015,Daman & Diu,17
484,2015,Delhi,398
485,2015,Goa,82
486,2015,Gujarat,1210
487,2015,Haryana,405
488,2015,Himachal Pradesh,146
489,2015,Jammu & Kashmir,98
490,2015,Jharkhand,942
491,2015,Karnataka,1868
492,2015,Kerala,1737
493,2015,Lakshadweep,78
494,2015,Madhya Pradesh,1520
495,2015,Maharashtra,3598
496,2015,Manipur,33
497,2015,Meghalaya,80
498,2015,Mizoram,2
499,2015,Nagaland,9
500,2015,Odisha,1086
501,2015,Puducherry,1
502,2015,Punjab,310
503,2015,Rajasthan,1878
504,2015,Sikkim,137
505,2015,Tamil Nadu,3189
506,2015,Telangana,81
507,2015,Tripura,128
508,2015,Uttar Pradesh,2500
509,2015,Uttarakhand,194
510,2015,West Bengal,822
511,2015,nominated,1
512,2016,Andaman & Nicobar Islands,19
513,2016,Andhra Pradesh,2036
514,2016,Arunachal Pradesh,58
515,2016,Assam,452
516,2016,Bihar,1710
517,2016,Chandigarh,104
518,2016,Chhattisgarh,481
519,2016,Dadra Nagar & Haveli,16
520,2016,Daman & Diu,3
521,2016,Delhi,450
522,2016,Goa,113
523,2016,Gujarat,1315
524,2016,Haryana,376
525,2016,Himachal Pradesh,169
526,2016,Jammu & Kashmir,60
527,2016,Jharkhand,1001
528,2016,Karnataka,1657
529,2016,Kerala,1413
530,2016,Lakshadweep,63
531,2016,Madhya Pradesh,1554
532,2016,Maharashtra,3324
533,2016,Manipur,35
534,2016,Meghalaya,49
535,2016,Mizoram,2
536,2016,Nagaland,4
537,2016,Odisha,987
538,2016,Punjab,302
539,2016,Rajasthan,1651
540,2016,Sikkim,73
541,2016,Tamil Nadu,3231
542,2016,Telangana,116
543,2016,Tripura,142
544,2016,Uttar Pradesh,2730
545,2016,Uttarakhand,167
546,2016,West Bengal,639
547,2016,nominated,89
548,2017,Andaman & Nicobar Islands,15
549,2017,Andhra Pradesh,1609
550,2017,Arunachal Pradesh,72
551,2017,Assam,368
552,2017,Bihar,1176
553,2017,Chandigarh,111
554,2017,Chhattisgarh,425
555,2017,Dadra Nagar & Haveli,29
556,2017,Delhi,371
557,2017,Goa,88
558,2017,Gujarat,1064
559,2017,Haryana,266
560,2017,Himachal Pradesh,126
561,2017,Jammu & Kashmir,77
562,2017,Jharkhand,719
563,2017,Karnataka,1131
564,2017,Kerala,1136
565,2017,Lakshadweep,70
566,2017,Madhya Pradesh,1189
567,2017,Maharashtra,2306
568,2017,Manipur,30
569,2017,Meghalaya,44
570,2017,Nagaland,3
571,2017,Odisha,541
572,2017,Punjab,296
573,2017,Rajasthan,1099
574,2017,Sikkim,49
575,2017,Tamil Nadu,2223
576,2017,Telangana,87
577,2017,Tripura,107
578,2017,Uttar Pradesh,2142
579,2017,Uttarakhand,81
580,2017,West Bengal,663
581,2017,nominated,91
582,2018,Andaman & Nicobar Islands,18
583,2018,Andhra Pradesh,1605
584,2018,Arunachal Pradesh,53
585,2018,Assam,415
586,2018,Bihar,1417
587,2018,Chandigarh,148
588,2018,Chhattisgarh,504
589,2018,Dadra Nagar & Haveli,20
590,2018,Delhi,399
591,2018,Goa,109
592,2018,Gujarat,1367
593,2018,Haryana,284
594,2018,Himachal Pradesh,122
595,2018,Jammu & Kashmir,93
596,2018,Jharkhand,860
597,2018,Karnataka,1174
598,2018,Kerala,1269
599,2018,Lakshadweep,36
600,2018,Madhya Pradesh,1332
601,2018,Maharashtra,2928
602,2018,Manipur,46
603,2018,Meghalaya,56
604,2018,Mizoram,1
605,2018,Nagaland,4
606,2018,Odisha,626
607,2018,Punjab,313
608,2018,Rajasthan,1243
609,2018,Sikkim,63
610,2018,Tamil Nadu,2624
611,2018,Telangana,85
612,2018,Tripura,120
613,2018,Uttar Pradesh,2302
614,2018,Uttarakhand,83
615,2018,West Bengal,747
616,2018,nominated,138
